geometry_msgs.msg.Point(x=-2.99111409700674, y=0.9340163238145536, z=0.0)
geometry_msgs.msg.Point(x=-3.0072933727605253, y=0.9530753145770703, z=0.0)
geometry_msgs.msg.Point(x=-3.02614827721629, y=0.9694914830345809, z=0.0)
geometry_msgs.msg.Point(x=-3.041393715065535, y=0.9893050209274818, z=0.0)
geometry_msgs.msg.Point(x=-3.0466965258134984, y=1.0137358684594986, z=0.0)
geometry_msgs.msg.Point(x=-3.051826912242486, y=1.0382041000252755, z=0.0)
geometry_msgs.msg.Point(x=-3.0541088641807868, y=1.063099577691169, z=0.0)
geometry_msgs.msg.Point(x=-3.0572807850044192, y=1.0878973991056071, z=0.0)
geometry_msgs.msg.Point(x=-3.0592735828856767, y=1.1128180537738288, z=0.0)
geometry_msgs.msg.Point(x=-3.064596230059717, y=1.137245086608523, z=0.0)
geometry_msgs.msg.Point(x=-3.0821652000480775, y=1.1550307314047998, z=0.0)
geometry_msgs.msg.Point(x=-3.0959621973239813, y=1.1758788152115542, z=0.0)
geometry_msgs.msg.Point(x=-3.0994953699840515, y=1.2006278085002648, z=0.0)
geometry_msgs.msg.Point(x=-3.1026306697133883, y=1.22543020755149, z=0.0)
geometry_msgs.msg.Point(x=-3.1054794856738077, y=1.250267701818082, z=0.0)
geometry_msgs.msg.Point(x=-3.106697899998604, y=1.2752379475514957, z=0.0)
geometry_msgs.msg.Point(x=-3.107926232536439, y=1.300207430345445, z=0.0)
geometry_msgs.msg.Point(x=-3.1086483547395822, y=1.3251975125049356, z=0.0)
geometry_msgs.msg.Point(x=-3.1093922207174636, y=1.3501860687854972, z=0.0)
geometry_msgs.msg.Point(x=-3.109943063010828, y=1.3751799656423103, z=0.0)
geometry_msgs.msg.Point(x=-3.110509927032947, y=1.4001738624991233, z=0.0)
geometry_msgs.msg.Point(x=-3.110977227454949, y=1.4251692852348654, z=0.0)
geometry_msgs.msg.Point(x=-3.111455971968919, y=1.4501647079706075, z=0.0)
geometry_msgs.msg.Point(x=-3.1118675778100133, y=1.475160893645814, z=0.0)
geometry_msgs.msg.Point(x=-3.112287194515485, y=1.500157842260485, z=0.0)
geometry_msgs.msg.Point(x=-3.112654931337371, y=1.5251547908751562, z=0.0)
geometry_msgs.msg.Point(x=-3.1130287716749727, y=1.5501525024292917, z=0.0)
geometry_msgs.msg.Point(x=-3.1133591244630985, y=1.5751502139834272, z=0.0)
geometry_msgs.msg.Point(x=-3.1136948178274757, y=1.6001479255375628, z=0.0)
geometry_msgs.msg.Point(x=-3.1139946530370217, y=1.6251456370916983, z=0.0)
geometry_msgs.msg.Point(x=-3.1143002102925514, y=1.6501441115852984, z=0.0)
geometry_msgs.msg.Point(x=-3.114579064666824, y=1.6751425860788984, z=0.0)
geometry_msgs.msg.Point(x=-3.1148689816633315, y=1.7001410605724985, z=0.0)
geometry_msgs.msg.Point(x=-3.115149361916533, y=1.7251395350660985, z=0.0)
geometry_msgs.msg.Point(x=-3.115464837385101, y=1.750137246620234, z=0.0)
geometry_msgs.msg.Point(x=-3.1158196042360906, y=1.7751349581743696, z=0.0)
geometry_msgs.msg.Point(x=-3.1162937711132734, y=1.8001303809101117, z=0.0)
geometry_msgs.msg.Point(x=-3.1169659207814924, y=1.8251212260090668, z=0.0)
geometry_msgs.msg.Point(x=-3.1180355619107125, y=1.850098338197661, z=0.0)
geometry_msgs.msg.Point(x=-3.1197834562238675, y=1.8750373034130305, z=0.0)
geometry_msgs.msg.Point(x=-3.1226997923268947, y=1.899866405345513, z=0.0)
geometry_msgs.msg.Point(x=-3.1261040282174655, y=1.9246337091813714, z=0.0)
geometry_msgs.msg.Point(x=-3.1295269561249164, y=1.949397961259372, z=0.0)
geometry_msgs.msg.Point(x=-3.132954080199422, y=1.9741622133373724, z=0.0)
geometry_msgs.msg.Point(x=-3.1363983704118787, y=1.9989241765969794, z=0.0)
geometry_msgs.msg.Point(x=-3.1398460938519257, y=2.0236846139776574, z=0.0)
geometry_msgs.msg.Point(x=-3.1433090760812625, y=2.048444288418871, z=0.0)
geometry_msgs.msg.Point(x=-3.1467739656592606, y=2.0732024369811555, z=0.0)
geometry_msgs.msg.Point(x=-3.150251825208155, y=2.0979598226039755, z=0.0)
geometry_msgs.msg.Point(x=-3.153730447696514, y=2.122716445287331, z=0.0)
geometry_msgs.msg.Point(x=-3.1572193698676436, y=2.1474715420917576, z=0.0)
geometry_msgs.msg.Point(x=-3.1607071476295765, y=2.1722274018356487, z=0.0)
geometry_msgs.msg.Point(x=-3.1642029362558866, y=2.1969817357006107, z=0.0)
geometry_msgs.msg.Point(x=-3.167694910184874, y=2.2217368325050373, z=0.0)
geometry_msgs.msg.Point(x=-3.171192224690113, y=2.246490403430535, z=0.0)
geometry_msgs.msg.Point(x=-3.1746849615585653, y=2.2712455002349614, z=0.0)
geometry_msgs.msg.Point(x=-3.1781857092913945, y=2.295999071160459, z=0.0)
geometry_msgs.msg.Point(x=-3.181684931145295, y=2.320753405025421, z=0.0)
geometry_msgs.msg.Point(x=-3.185191400924108, y=2.345506213011454, z=0.0)
geometry_msgs.msg.Point(x=-3.1886959633542595, y=2.370259020997487, z=0.0)
geometry_msgs.msg.Point(x=-3.1922073922395917, y=2.395011066044056, z=0.0)
geometry_msgs.msg.Point(x=-3.1957165323065304, y=2.419763874030089, z=0.0)
geometry_msgs.msg.Point(x=-3.1992310129497206, y=2.444515156137193, z=0.0)
geometry_msgs.msg.Point(x=-3.2027432047745172, y=2.4692672011837615, z=0.0)
geometry_msgs.msg.Point(x=-3.206259974236101, y=2.4940184832908656, z=0.0)
geometry_msgs.msg.Point(x=-3.209772929000362, y=2.5187712912768987, z=0.0)
geometry_msgs.msg.Point(x=-3.2132893169922134, y=2.543522573384003, z=0.0)
geometry_msgs.msg.Point(x=-3.21680150881701, y=2.568273855491107, z=0.0)
geometry_msgs.msg.Point(x=-3.2203152265207358, y=2.59302666347714, z=0.0)
geometry_msgs.msg.Point(x=-3.223823985117942, y=2.617779471463173, z=0.0)
geometry_msgs.msg.Point(x=-3.2273357954730066, y=2.642530753570277, z=0.0)
geometry_msgs.msg.Point(x=-3.230844554070213, y=2.66728356155631, z=0.0)
geometry_msgs.msg.Point(x=-3.2343563644252775, y=2.6920363695423433, z=0.0)
geometry_msgs.msg.Point(x=-3.237865123022484, y=2.7167876516494474, z=0.0)
geometry_msgs.msg.Point(x=-3.241376551907816, y=2.7415404596354804, z=0.0)
geometry_msgs.msg.Point(x=-3.2448849290352904, y=2.7662932676215135, z=0.0)
geometry_msgs.msg.Point(x=-3.248395213511426, y=2.7910460756075466, z=0.0)
geometry_msgs.msg.Point(x=-3.251902064759971, y=2.8157988835935797, z=0.0)
geometry_msgs.msg.Point(x=-3.255410441887445, y=2.8405501657006837, z=0.0)
geometry_msgs.msg.Point(x=-3.258915004317597, y=2.865304499565646, z=0.0)
geometry_msgs.msg.Point(x=-3.262420329687213, y=2.890057307551679, z=0.0)
geometry_msgs.msg.Point(x=-3.2659214588897747, y=2.914810115537712, z=0.0)
geometry_msgs.msg.Point(x=-3.269422588092336, y=2.939564449402674, z=0.0)
geometry_msgs.msg.Point(x=-3.2729183767186463, y=2.964318783267636, z=0.0)
geometry_msgs.msg.Point(x=-3.276415309754153, y=2.989073117132598, z=0.0)
geometry_msgs.msg.Point(x=-3.279908046622605, y=3.01382745099756, z=0.0)
geometry_msgs.msg.Point(x=-3.283401927900254, y=3.0385817848625223, z=0.0)
geometry_msgs.msg.Point(x=-3.2868923759503126, y=3.0633376446064133, z=0.0)
geometry_msgs.msg.Point(x=-3.2903835869398357, y=3.0880919784713754, z=0.0)
geometry_msgs.msg.Point(x=-3.2938709832320363, y=3.1128478382152664, z=0.0)
geometry_msgs.msg.Point(x=-3.297358760993969, y=3.1376036979591575, z=0.0)
geometry_msgs.msg.Point(x=-3.3008423425888473, y=3.1623595577030486, z=0.0)
geometry_msgs.msg.Point(x=-3.3043263056534578, y=3.1871154174469396, z=0.0)
geometry_msgs.msg.Point(x=-3.3078064540207457, y=3.2118728030697596, z=0.0)
geometry_msgs.msg.Point(x=-3.311285839448569, y=3.2366286628136507, z=0.0)
geometry_msgs.msg.Point(x=-3.314761028709338, y=3.2613860484364707, z=0.0)
geometry_msgs.msg.Point(x=-3.318235455030642, y=3.2861434340592908, z=0.0)
geometry_msgs.msg.Point(x=-3.321704540775695, y=3.31090234556104, z=0.0)
geometry_msgs.msg.Point(x=-3.3251732450510154, y=3.33565973118386, z=0.0)
geometry_msgs.msg.Point(x=-3.3286381346290135, y=3.360418642685609, z=0.0)
geometry_msgs.msg.Point(x=-3.3321030242070115, y=3.385177554187358, z=0.0)
geometry_msgs.msg.Point(x=-3.335563717617955, y=3.409936465689107, z=0.0)
geometry_msgs.msg.Point(x=-3.3390247924986305, y=3.434695377190856, z=0.0)
geometry_msgs.msg.Point(x=-3.342481289742519, y=3.459455814571534, z=0.0)
geometry_msgs.msg.Point(x=-3.3459377869864078, y=3.484216251952212, z=0.0)
geometry_msgs.msg.Point(x=-3.3493900880632417, y=3.50897668933289, z=0.0)
geometry_msgs.msg.Point(x=-3.352841626200611, y=3.533737126713568, z=0.0)
geometry_msgs.msg.Point(x=-3.356288968170926, y=3.558497564094246, z=0.0)
geometry_msgs.msg.Point(x=-3.359735547201776, y=3.583259527353853, z=0.0)
geometry_msgs.msg.Point(x=-3.3631779300655715, y=3.60802149061346, z=0.0)
geometry_msgs.msg.Point(x=-3.366618787050438, y=3.632783453873067, z=0.0)
geometry_msgs.msg.Point(x=-3.37005544786825, y=3.657545417132674, z=0.0)
geometry_msgs.msg.Point(x=-3.3734902013374004, y=3.68230890627121, z=0.0)
geometry_msgs.msg.Point(x=-3.3769207586394963, y=3.707072395409746, z=0.0)
geometry_msgs.msg.Point(x=-3.38035093447186, y=3.731835884548282, z=0.0)
geometry_msgs.msg.Point(x=-3.383777295606901, y=3.756599373686818, z=0.0)
geometry_msgs.msg.Point(x=-3.3872025123327454, y=3.781364388704283, z=0.0)
geometry_msgs.msg.Point(x=-3.3906239143612673, y=3.806129403721748, z=0.0)
geometry_msgs.msg.Point(x=-3.3940445534503247, y=3.830894418739213, z=0.0)
geometry_msgs.msg.Point(x=-3.3974609963723275, y=3.855659433756678, z=0.0)
geometry_msgs.msg.Point(x=-3.4008762948851334, y=3.880424448774143, z=0.0)
geometry_msgs.msg.Point(x=-3.4042873972308847, y=3.905190989670537, z=0.0)
geometry_msgs.msg.Point(x=-3.407697355167439, y=3.9299575305669308, z=0.0)
geometry_msgs.msg.Point(x=-3.4111027354672068, y=3.9547240714633247, z=0.0)
geometry_msgs.msg.Point(x=-3.4145069713577776, y=3.9794921382386477, z=0.0)
geometry_msgs.msg.Point(x=-3.4179066296115614, y=4.004258679135042, z=0.0)
geometry_msgs.msg.Point(x=-3.421304380516684, y=4.029026745910365, z=0.0)
geometry_msgs.msg.Point(x=-3.424697935254752, y=4.0537963385646165, z=0.0)
geometry_msgs.msg.Point(x=-3.428090345583623, y=4.0785644053399395, z=0.0)
geometry_msgs.msg.Point(x=-3.4314785597454396, y=4.103333997994191, z=0.0)
geometry_msgs.msg.Point(x=-3.4348656294980593, y=4.128103590648443, z=0.0)
geometry_msgs.msg.Point(x=-3.438249266023089, y=4.152873183302695, z=0.0)
geometry_msgs.msg.Point(x=-3.441630995199457, y=4.177644301835876, z=0.0)
geometry_msgs.msg.Point(x=-3.445009291148235, y=4.202413894490128, z=0.0)
geometry_msgs.msg.Point(x=-3.448386061218084, y=4.227185013023309, z=0.0)
geometry_msgs.msg.Point(x=-3.4517586351208784, y=4.25195613155649, z=0.0)
geometry_msgs.msg.Point(x=-3.455129683144744, y=4.2767287759686, z=0.0)
geometry_msgs.msg.Point(x=-3.4584969164712867, y=4.30150142038071, z=0.0)
geometry_msgs.msg.Point(x=-3.4618622424491683, y=4.326272538913891, z=0.0)
geometry_msgs.msg.Point(x=-3.4652237537297275, y=4.35104670920493, z=0.0)
geometry_msgs.msg.Point(x=-3.468582976191893, y=4.3758193536170396, z=0.0)
geometry_msgs.msg.Point(x=-3.4688698414305428, y=4.40081782811064, z=0.0)
geometry_msgs.msg.Point(x=-3.4706524494893323, y=4.425753741568151, z=0.0)
geometry_msgs.msg.Point(x=-3.4739632252955026, y=4.450534015374906, z=0.0)
geometry_msgs.msg.Point(x=-3.5, y=4.5, z=0.0)
